ID,Item,Company,Quantity,Target FG Warehouse,Currency,Conversion Rate,Show Operations,Transfer Material Against,With Operations,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items),Include Item In Manufacturing (Items),Stock Qty (Items),Stock UOM (Items),Conversion Factor (Items),BOM No (Items),Do Not Explode (Items),Source Warehouse (Items),ID (Operations),Operation (Operations),Operation Time (Operations),Workstation (Operations),Workstation Type (Operations)
BOM-Turbulator 0.2*250*96.0-001,Turbulator 0.2*250*96.0,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.2×250 Thk,0.024,1,Kg,1,0.024,Kg,1,,0,Raw Materials Stores – TPL,,Turbu Forming,1,,Turbulator Forming and Cutting
BOM-Turbulator 0.3*300*44.5-001,Turbulator 0.3*300*44.5,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.3×300MM,0.018,1,Kg,1,0.018,Kg,1,,0,Raw Materials Stores – TPL,,Turbu Forming,1,,Turbulator Forming and Cutting
BOM-R215 RAD Tube Sheet 0.6*110*1021-001,R215 RAD Tube Sheet 0.6*110*1021,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.6*110MM,0.184,1,Kg,1,0.184,Kg,1,,0,Raw Materials Stores – TPL,,Tube Sheet Cutting,1,,Cut To Length
BOM-R215 OC Tube Sheet 0.7*110*1021-001,R215 OC Tube Sheet 0.7*110*1021,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.7*110,0.215,1,Kg,1,0.215,Kg,1,,0,Raw Materials Stores – TPL,,Tube Sheet Cutting,1,,Cut To Length
BOM-R215 Tube Sheet For CAC 0.6*110*941-001,R215 Tube Sheet For CAC 0.6*110*941,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,1,Work Order,1,,Aluminium Coil 0.6*110MM,0.17,1,Kg,1,0.17,Kg,1,,0,Raw Materials Stores – TPL,,Tube Sheet Cutting,1,,Cut To Length
BOM-R215 Top Flyscreen Wire Mash 903X554-001,R215 Top Flyscreen Wire Mash 903X554,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,MS,0.33,1,Kg,1,0.33,Kg,1,,0,Raw Materials Stores – TPL,,Rolling & Cutting,1,,Manual Rolling and Cutting
BOM-R215 Top Flyscreen Covering Plate 910X30X1-001,R215 Top Flyscreen Covering Plate 910X30X1,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,MS - 1 MM Thk,0.214,1,Kg,1,0.214,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 Top Flyscreen Center Plate 533X102-001,R215 Top Flyscreen Center Plate 533X102,Teksons Pvt Ltd,1,WIP-RA - TPL,INR,1,1,Work Order,1,,MS - 2MM Thk,0.084,1,Kg,1,0.084,Kg,1,,0,Raw Materials Stores – TPL,,Shearing,1,,Shearing Machine
BOM-R215 Top Flyscreen Assembly-001,R215 Top Flyscreen Assembly,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 Top Flyscreen Wire Mash 903X554,1,0.33,Nos,1,1,Nos,1,BOM-R215 Top Flyscreen Wire Mash 903X554-001,0,,,Assembly,1,,RA Assembly
,,,,,,,,,,,U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T),2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,Painting,1,,RA Painting
,,,,,,,,,,,U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T),2,1,Nos,1,2,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 Top and Bottom Flyscreen Mounting Plate 35X30X2,4,0.02,Nos,1,4,Nos,1,BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001,0,,,,,,
,,,,,,,,,,,R215 Top Flyscreen Covering Plate 910X30X1,1,0.21,Nos,1,1,Nos,1,BOM-R215 Top Flyscreen Covering Plate 910X30X1-001,0,WIP-RP – TPL,,,,,
BOM-R215 Top Cover Assembly-001,R215 Top Cover Assembly,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 Top Cover Assembly,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,Painting,1,,RA Painting
