"ID","Item","Company","Quantity","Target FG Warehouse","With Operations","Item Code (Items)","Qty (Items)","UOM (Items)","Conversion Factor (Items)","Source Warehouse (Items)","Item operation (Items)","Stock UOM (Items)","Operation (Operations)","Operation Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"BOM-Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001-001","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","Teksons Pvt Ltd",6.0,"WIP-Ralu Weld - TPL",1,"Tank End Plate 110×5*595MM",1.0,"Nos",1.0,"WIP-CNC - TPL","Blanking","Nos","Blanking",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008-001","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008","Teksons Pvt Ltd",9.0,"WIP-Ralu Weld - TPL",1,"Aluminium Plate 70*8*800MM",1.223,"Kg",1.0,"Raw Material Stores - TPL","Blanking","Kg","Blanking",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"MS - 2MM Thk",0.016,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"","","","","","","","","","","","","","Punching",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-R215 Top Flyscreen Assembly-001","R215 Top Flyscreen Assembly","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 Top Flyscreen Wire Mash 903X554",1.0,"Nos",1.0,"WIP-RP - TPL","Assembly","Nos","Assembly",1.0,"","RA Assembly"
"","","","","","","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","Painting",1.0,"","RA Painting"
"","","","","","","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2",4.0,"Nos",1.0,"WIP-RP - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Top Flyscreen Covering Plate 910X30X1",1.0,"Nos",1.0,"WIP-W - TPL","Assembly","Nos","","","",""
"BOM-R215 Top Flyscreen Center Plate 533X102-001","R215 Top Flyscreen Center Plate 533X102","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"MS - 2MM Thk",0.084,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 Top Flyscreen Covering Plate 910X30X1-001","R215 Top Flyscreen Covering Plate 910X30X1","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"MS - 1 MM Thk",0.214,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 Top Flyscreen Wire Mash 903X554-001","R215 Top Flyscreen Wire Mash 903X554","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"MS",0.33,"Kg",1.0,"Raw Material Stores - TPL","Rolling & Cutting","Kg","Rolling & Cutting",1.0,"","Manual Rolling and Cutting"
"BOM-R215 Tube Sheet For CAC 0.6*110*941-001","R215 Tube Sheet For CAC 0.6*110*941","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.6*110MM",0.17,"Kg",1.0,"Raw Material Stores - TPL","Tube Sheet Cutting","Kg","Tube Sheet Cutting",1.0,"","Cut To Length"
"BOM-R215 OC Tube Sheet 0.7*110*1021-001","R215 OC Tube Sheet 0.7*110*1021","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.7*110",0.215,"Kg",1.0,"Raw Material Stores - TPL","Tube Sheet Cutting","Kg","Tube Sheet Cutting",1.0,"","Cut To Length"
"BOM-R215 RAD Tube Sheet 0.6*110*1021-001","R215 RAD Tube Sheet 0.6*110*1021","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.6*110MM",0.184,"Kg",1.0,"Raw Material Stores - TPL","Tube Sheet Cutting","Kg","Tube Sheet Cutting",1.0,"","Cut To Length"
"BOM-Turbulator 0.3*300*44.5-001","Turbulator 0.3*300*44.5","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.3×300MM",0.018,"Kg",1.0,"Raw Material Stores - TPL","Turbu Forming","Kg","Turbu Forming",1.0,"","Turbulator Forming and Cutting"
"BOM-Turbulator 0.2*250*96.0-001","Turbulator 0.2*250*96.0","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.2×250 Thk",0.024,"Kg",1.0,"Raw Material Stores - TPL","Turbu Forming","Kg","Turbu Forming",1.0,"","Turbulator Forming and Cutting"
"BOM-Turbulator 0.2*300*96.0-001","Turbulator 0.2*300*96.0","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Coil 0.2×300",0.029,"Kg",1.0,"Raw Material Stores - TPL","Turbu Forming","Kg","Turbu Forming",1.0,"","Turbulator Forming and Cutting"
"BOM-Spacer Bar 9.5×15×110-001","Spacer Bar 9.5×15×110","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )",0.043,"Kg",1.0,"Raw Material Stores - TPL","Bar Cutting","Kg","Bar Cutting",1.0,"","Aluminium Bar Cutting"
"BOM-R215 CAC-001","R215 CAC","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 CAC Core",1.0,"Nos",1.0,"WIP-Ralu In - TPL","Tank To Core","Nos","Tank To Core",1.0,"","Mig Welding"
"","","","","","","R215 CAC Top Tank Sub Assy",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","Angle Assembly",1.0,"","Mig Welding"
"","","","","","","R215 CAC Bottom Tank Sub Assy",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","Leak Testing",1.0,"","Leak Test"
"","","","","","","Stay Block 50X25X150",1.0,"Nos",1.0,"WIP-Ralu Weld - TPL","Tank To Core","Nos","","","",""
