"ID","Status","Item To Manufacture","BOM No","Qty To Manufacture","Target Warehouse","Planned Start Date","Stock UOM","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Stock UOM (Required Items)","Operation (Operations)","Sequence ID (Operations)","Planned Start Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"WO/260808/0457","In Process","R215 Fan Cowl","BOM-R215 Fan Cowl-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 Fan Cowl","Painting",1.0,"Nos","Painting",1,"","","RA Painting"
"WO/260808/0456","In Process","Cage For M8 Sq Nut 182X50X0.5","BOM-Cage For M8 Sq Nut 182X50X0.5-001",8.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","GI - 0.5MM Thk","Folding",0.288,"Kg","Folding",1,"","","Corner Cutting, Punching, Folding and Blanking"
"","","","","","","","","SQ Nut M8*1.25P","Folding",8.0,"Nos","","","","",""
"WO/260808/0455","In Process","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","BOM-R215 Top and Bottom Flyscreen Mounting Plate 35X30X2-001",8.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","MS - 2MM Thk","Shearing",0.128,"Kg","Shearing",1,"","","Shearing Machine"
"","","","","","","","","","","","","Punching",2,"","","Corner Cutting, Punching, Folding and Blanking"
"WO/260808/0454","In Process","R215 Bottom Flyscreen Center Plate 453X10X2","BOM-R215 Bottom Flyscreen Center Plate 453X10X2-001",2.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","MS - 2MM Thk","Shearing",0.142,"Kg","Shearing",1,"","","Shearing Machine"
"WO/260808/0453","In Process","R215 Bottom Flyscreen Wire Mash 903X475","BOM-R215 Bottom Flyscreen Wire Mash 903X475-001",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","MS","Rolling & Cutting",0.282,"Kg","Rolling & Cutting",1,"","","Manual Rolling and Cutting"
"WO/260808/0452","In Process","R215 Bottom Flyscreen Assembly","BOM-R215 Bottom Flyscreen Assembly-001",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","R215 Bottom Flyscreen Wire Mash 903X475","Assembly",1.0,"Nos","Assembly",1,"","","RA Assembly"
"","","","","","","","","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)","Assembly",2.0,"Nos","Painting",2,"","","RA Painting"
"","","","","","","","","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","R215 Bottom Flyscreen Center Plate 453X10X2","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","Assembly",4.0,"Nos","","","","",""
"WO/260808/0451","In Process","R215 Bottom Cover Assembly","BOM-R215 Bottom Cover Assembly-001",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","R215 Bottom Cover Assembly","Painting",1.0,"Nos","Painting",1,"","","RA Painting"
"WO/260808/0450","In Process","Condenser Mounting Block 31X19X25","BOM-Condenser Mounting Block 31X19X25-001",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)","Size Cutting",1.572,"Kg","Size Cutting",1,"","","Accurate Cutting"
"","","","","","","","","Helicoil Insert M8 X 1.25 X 16Mm (2 D)","Helicoil Insert",4.0,"Nos","Drilling & Boring",2,"","","Drilling, Boring and Milling"
"","","","","","","","","","","","","Helicoil Insert",3,"","","Helicoil & Tapping"
"WO/260808/0449","In Process","Stay Block 50X25X150","BOM-Stay Block 50X25X150-001",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)","Size Cutting",1.024,"Kg","Size Cutting",1,"","","Accurate Cutting"
"","","","","","","","","Helicoil Insert M 12 X 1.75 X 18Mm","Helicoil Insert",2.0,"Nos","Helicoil Insert",2,"","","Helicoil & Tapping"
"WO/260808/0448","In Process","R215 CAC Bottom Tank","BOM-R215 CAC Bottom Tank-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","Drilling & Boring",1.0,"Nos","Drilling & Boring",1,"","","Drilling, Boring and Milling"
"","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",4.0,"Nos","Helicoil Insert",2,"","","Helicoil & Tapping"
"WO/260808/0447","In Process","R215 CAC Bottom Tank Sub Assy","BOM-R215 CAC Bottom Tank Sub Assy-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 CAC Bottom Tank","Tank Assembly",1.0,"Nos","Tank Assembly",1,"","","Mig Welding"
"","","","","","","","","R215 CAC Inlet and Outlet Pipe","Tank Assembly",1.0,"Nos","","","","",""
"","","","","","","","","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","Tank Assembly",2.0,"Nos","","","","",""
"WO/260808/0446","In Process","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","BOM-R215 CAC Top and Bottom Tank 110x113x7.5x186LG-001",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg","Size Cutting",3.62,"Kg","Size Cutting",1,"","","Accurate Cutting"
"WO/260808/0445","In Process","R215 CAC Top Tank","BOM-R215 CAC Top Tank-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","Drilling & Boring",1.0,"Nos","Drilling & Boring",1,"","","Drilling, Boring and Milling"
"","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",4.0,"Nos","Helicoil Insert",2,"","","Helicoil & Tapping"
"WO/260808/0444","In Process","R215 CAC Inlet and Outlet Pipe","BOM-R215 CAC Inlet and Outlet Pipe-001",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Aluminium Pipe ⌀ 76.0*3MM Thk","Pipe Cutting",0.506,"Kg","Pipe Cutting",1,"","","Weld_Manual Cutting"
"WO/260808/0443","Draft","Tank End Plate 110×5*595MM","BOM-Tank End Plate 110×5*595MM-001",0.666,"WIP-RP - TPL","2026-08-08 00:00:00","Nos","Aluminium Plate 110*5*2250MM","Size Cutting",0.595404,"Kg","Size Cutting",1,"","","Accurate Cutting"
"WO/260808/0442","Draft","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","BOM-Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001-001",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Tank End Plate 110×5*595MM","Blanking",0.666666667,"Nos","Blanking",1,"","","Corner Cutting, Punching, Folding and Blanking"
"WO/260808/0441","In Process","R215 CAC Top Tank Sub Assy","BOM-R215 CAC Top Tank Sub Assy-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","Tank Assembly",2.0,"Nos","Tank Assembly",1,"","","Mig Welding"
"","","","","","","","","R215 CAC Inlet and Outlet Pipe","Tank Assembly",1.0,"Nos","","","","",""
"","","","","","","","","R215 CAC Top Tank","Tank Assembly",1.0,"Nos","","","","",""
"WO/260808/0440","In Process","R215 Tube Sheet For CAC 0.6*110*941","BOM-R215 Tube Sheet For CAC 0.6*110*941-001",20.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.6*110MM","Tube Sheet Cutting",3.4,"Kg","Tube Sheet Cutting",1,"","","Cut To Length"
"WO/260808/0439","In Process","R215 Spacer Bar for CAC 8*10*941","BOM-R215 Spacer Bar for CAC 8*10*941-001",18.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Spacer Bar ALU-STD-0028 (8*10)","Bar Cutting",3.708,"Kg","Bar Cutting",1,"","","Aluminium Bar Cutting"
"WO/260808/0438","In Process","Spacer Bar 9.5×15×110","BOM-Spacer Bar 9.5×15×110-001",124.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Spacer Bar ( ALU STD 0061 ) ( 9.5*15 )","Bar Cutting",5.332,"Kg","Bar Cutting",1,"","","Aluminium Bar Cutting"
"WO/260808/0437","In Process","Internal Fin For CAC 0.2*200*90","BOM-Internal Fin For CAC 0.2*200*90-001",36.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.2×200MM","Fin Forming",1.188,"Kg","Fin Forming",1,"","","Fin Forming and Cutting"
"WO/260808/0436","In Process","Internal Fin For CAC 0.2*140*90","BOM-Internal Fin For CAC 0.2*140*90-001",9.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.2×140","Fin Forming",0.207,"Kg","Fin Forming",1,"","","Fin Forming and Cutting"
"WO/260808/0435","In Process","R215 External Fin For CAC 0.3*110*911","BOM-R215 External Fin For CAC 0.3*110*911-001",4.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Nos","Aluminium Coil 0.3*110MM","Fin Forming",1.288,"Kg","Fin Forming",1,"","","Fin Forming and Cutting"
