"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Source Warehouse (Required Items)","Workstation (Operations)","Workstation Type (Operations)","Sequence ID (Operations)","Operation (Operations)"
"WO/260808/0258","WO/.YY.MM.DD./.####.","Draft","R215 Bottom Cover Assembly","BOM-R215 Bottom Cover Assembly-001","Teksons Pvt Ltd",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","R215 Bottom Cover Assembly","Painting",1.0,"Raw Material Stores - TPL","","RA Painting",1,"Painting"
"WO/260808/0257","WO/.YY.MM.DD./.####.","Draft","Condenser Mounting Block 31X19X25","BOM-Condenser Mounting Block 31X19X25-001","Teksons Pvt Ltd",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)","Size Cutting",1.572,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"","","","","","","","","","Helicoil Insert M8 X 1.25 X 16Mm (2 D)","Helicoil Insert",4.0,"BOF Stores - TPL","","Drilling, Boring and Milling",2,"Drilling & Boring"
"","","","","","","","","","","","","","","Helicoil & Tapping",3,"Helicoil Insert"
"WO/260808/0256","WO/.YY.MM.DD./.####.","Draft","Stay Block 50X25X150","BOM-Stay Block 50X25X150-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)","Size Cutting",1.024,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"","","","","","","","","","Helicoil Insert M 12 X 1.75 X 18Mm","Helicoil Insert",2.0,"BOF Stores - TPL","","Helicoil & Tapping",2,"Helicoil Insert"
"WO/260808/0255","WO/.YY.MM.DD./.####.","Draft","R215 CAC Bottom Tank","BOM-R215 CAC Bottom Tank-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","Drilling & Boring",1.0,"WIP-CNC - TPL","","Drilling, Boring and Milling",1,"Drilling & Boring"
"","","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",4.0,"BOF Stores - TPL","","Helicoil & Tapping",2,"Helicoil Insert"
"WO/260808/0254","WO/.YY.MM.DD./.####.","Draft","R215 CAC Bottom Tank Sub Assy","BOM-R215 CAC Bottom Tank Sub Assy-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 CAC Bottom Tank","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","Mig Welding",1,"Tank Assembly"
"","","","","","","","","","R215 CAC Inlet and Outlet Pipe","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","Tank Assembly",2.0,"WIP-RP - TPL","","","",""
